SK_ID_CURR,TARGET,SCORE
100002,1,0.112571955
100004,0,0.74306655
100008,0,0.46244037
100009,0,0.79187083
100010,0,0.7674169
100011,0,0.5544839
100014,0,0.6834001
100015,0,0.80235225
100016,0,0.4917674
100017,0,0.68660164
100019,0,0.3670761
100020,0,0.07749826
100022,0,0.8123361
100023,0,0.6986091
100025,0,0.3761999
100026,0,0.36380988
100027,0,0.8383086
100029,0,0.72848547
100030,0,0.61204255
100031,1,0.25407368
100032,0,0.4580791
100033,0,0.76631045
100035,0,0.48642743
100037,0,0.8508072
100039,0,0.30070555
100041,0,0.74283695
100043,0,0.76467216
100044,0,0.76840466
100045,0,0.8792512
100046,0,0.86849654
100047,1,0.27166176
100049,1,0.5176965
100050,0,0.8494534
100053,0,0.5596063
100054,0,0.7521058
100055,0,0.6216657
100058,0,0.7927529
100059,0,0.60609937
100060,0,0.73791414
100061,0,0.76763725
100062,0,0.7243966
100063,0,0.33400428
100064,0,0.31583774
100068,0,0.61691797
100069,0,0.435946
100070,0,0.67107016
100071,0,0.7241382
100072,0,0.30578882
100073,0,0.502639
100075,0,0.8635307
100076,0,0.29648542
100077,0,0.49497873
100078,0,0.7134367
100079,0,0.33721805
100082,0,0.5022786
100083,0,0.57906425
100084,0,0.48772556
100085,0,0.26096684
100086,0,0.37025678
100087,0,0.33789718
100088,0,0.8090469
100089,0,0.4998592
100094,0,0.74836344
100096,1,0.49431777
100097,0,0.58376575
100099,0,0.53295106
100100,0,0.71734536
100102,0,0.6544618
100103,0,0.6881395
100105,0,0.7198162
100108,0,0.67785364
100110,0,0.32736897
100111,0,0.310695
100112,1,0.18619883
100113,0,0.81741107
100114,0,0.1807875
100116,0,0.5145429
100119,0,0.30592906
100120,0,0.24195606
100121,0,0.34542018
100122,0,0.21718472
100123,0,0.71849877
100124,0,0.74298096
100125,0,0.8921302
100126,0,0.7372389
100130,1,0.1906066
100131,0,0.6980363
100132,0,0.79547924
100134,0,0.8642789
100135,0,0.32067186
100138,0,0.730092
100139,0,0.18883139
100142,0,0.34429508
100143,0,0.89209765
100145,0,0.79834276
100146,0,0.6671765
100147,0,0.7031182
100148,0,0.3946311
100149,0,0.060947537
100151,0,0.6323546
100152,0,0.6145992
100153,0,0.5001215
100154,0,0.52799857
100155,0,0.42863137
100156,0,0.8148111
100157,0,0.38233596
100159,0,0.7450169
100160,1,0.25596213
100161,0,0.33257967
100162,0,0.38159955
100163,0,0.2571444
100164,0,0.7239704
100165,0,0.8081674
100166,0,0.41274154
100167,0,0.40150768
100173,0,0.6612071
100174,0,0.79140186
100175,0,0.5455443
100176,0,0.8117009
100177,0,0.42067146
100178,0,0.6435666
100179,0,0.65031064
100180,0,0.7911269
100181,1,0.44222754
100182,0,0.8050803
100183,0,0.8796887
100185,0,0.770337
100186,0,0.7032568
100188,0,0.8743604
100190,0,0.84484
100191,0,0.6976357
100192,1,0.32924253
100193,0,0.7216647
100194,0,0.23468083
100195,0,0.7170136
100196,0,0.46352595
100198,0,0.5981565
100199,0,0.47835308
100200,0,0.695819
100201,0,0.525625
100202,0,0.30324388
100203,0,0.7093984
100204,0,0.48195624
100205,0,0.30396098
100207,0,0.6394222
100208,0,0.65057015
100209,1,0.4884895
100210,0,0.6957966
100211,0,0.20494467
100213,0,0.5225619
100215,0,0.64699167
100217,0,0.45001215
100218,0,0.63310474
100220,0,0.5705074
100221,0,0.823619
100224,0,0.55824924
100225,0,0.75123274
100227,0,0.3975423
100228,0,0.3779145
100229,0,0.8071792
100230,0,0.31676567
100231,0,0.59729314
100233,0,0.5615511
100234,0,0.7570231
100235,0,0.24805385
100237,0,0.27188933
100238,0,0.6303563
100239,0,0.56739736
100240,0,0.19261843
100242,0,0.78458285
100243,0,0.34671724
100244,0,0.41567558
100246,1,0.1086269
100247,0,0.43595457
100248,0,0.5910648
100249,0,0.3780833
100250,0,0.5574192
100254,0,0.64439595
100255,0,0.52166927
100257,0,0.6739855
100259,0,0.40225053
100260,0,0.7714877
100261,0,0.65509
100262,0,0.751592
100263,0,0.41049767
100264,0,0.75201815
100265,0,0.22483581
100266,0,0.6836952
100267,0,0.75929105
100268,0,0.3115363
100269,0,0.23394156
100270,0,0.9192518
100272,0,0.22532898
100274,0,0.73413867
100275,0,0.75896496
100279,0,0.6475482
100281,0,0.66854584
100283,0,0.5352349
100284,0,0.6807018
100289,0,0.79956985
100290,0,0.1826424
100291,0,0.17827362
100292,0,0.45979208
100293,0,0.6555328
100294,0,0.71968126
100295,1,0.37805736
100299,0,0.86085504
100300,1,0.22974527
100301,1,0.12906629
100302,0,0.35604507
100303,0,0.58694714
100304,0,0.9185049
100307,0,0.40640938
100308,0,0.8259662
100310,0,0.22778642
100313,0,0.7601202
100314,0,0.75107586
100315,0,0.49867982
100316,0,0.7107235
100317,0,0.79503834
100319,0,0.5115608
100321,0,0.25865334
100322,0,0.8015497
100325,0,0.53678167
100328,0,0.7915372
